OrderID,Date,Sales,Category,Region,Profit,Customer
1001,2024-01-05,250,Consumer, north,15.5,John Doe
1002,2024-01-07,,consumer,North,20.0,Jane Smith
1003,2024/01/09,300,Corporate,SOUTH,30.1,Mike Lee
1004,2024-01-10,400,Home Office,South,45.2,Anna Ray
1005,01-12-2024,500,Consumer,east,50.0,Sam Fox
1006,2024-01-13,120,corporate,East,18.0,Neil Roy
1007,2024-01-15,350,HomeOffice,West,40.5,Jess Wu
1008,2024-01-17,330,Home Office,west,33.0,Chris Tan
1009,2024-01-18,450,consumer,NORTH,60.0,
1010,2024-01-19,520,Corporate,South,70.0,Olga Kim
1011,,610,Consumer,South,80.0,John Doe
1012,2024-01-21,600,Home Office,East,90.0,Jane Smith
1012,2024-01-21,600,Home Office,East,90.0,Jane Smith
1013,2024-01-22,abc,Consumer,North,35.0,Ada Lee
1014,2024-01-23,700,Corporate,South,,Bob Ray
